rec_id,given_name,surname,street_number,address_1,address_2,suburb,postcode,date_of_birth,sorting_key
rec-6981-dup-0,,hubner,20.0,rosebery street,apple glen,mossoman,4068,19051082.0,6981
rec-3681-dup-0,josh,hare,74.0,currongustreet,,cardiff,3047,19710516.0,3681
rec-5364-dup-0,chloe,seedcki,26.0,mowle place,,capsi e,4553,19350216.0,5364
rec-4992-dup-0,jacksow,beativ,4.0,chandler street,,hazelbrook,6450,19111123.0,4992
rec-10547-dup-0,,whillas,116.0,macalister crescent,,mayfixdld,4067,19530314.0,10547
rec-572-dup-0,isabella,white,8.0,dominion circuit,,wee k oo rup,4071,19761025.0,572
rec-7728-dup-0,loganf,lill,46.0,grevillea street,,keysborough,5161,19050406.0,7728
rec-10811-dup-0,marianne,wight,123.0,pedraip iace,,bassencddean,2194,19800502.0,10811
rec-4659-dup-0,taylah,herbemrt,190.0,tenison-woods circuit,,glenmre park,4157,19291106.0,4659
rec-860-dup-0,benjain,vreugdnbwurg,8.0,gascoynehcircuit,,labrador,4670,19370817.0,860
rec-9070-dup-0,al ez,blak,,cxircuit keferstone,,thirroul,4122,19400512.0,9070
rec-5504-dup-0,hoffan,noah,25.0,brand street,,bungury,5703,,5504
rec-1026-dup-0,,grosveclr,54.0,duffy street,,loftusu,2161,,1026
rec-4265-dup-0,nicolhas,wheatley,121.0,yalgwclose,,booroga,3155,19020201.0,4265
rec-8168-dup-0,alishs,mawlai,30.0,spigl treet,,point vernon,3008,,8168
rec-9923-dup-0,olyk,matthews,1.0,berkeleyrstreet,,cooroy,2206,19740620.0,9923
rec-6961-dup-0,harrkzon,moody,155.0,annear lpqce,,seddon,5164,,6961
rec-6955-dup-0,safa,jolxky,16.0,,top ca p,dapto,5244,19410913.0,6955
rec-503-dup-0,peyton,zalnrgon,16.0,beaufort retreat,bolaro,wendouree,2909,19850108.0,503
rec-1783-dup-0,haroun,matthews,2.0,atkinson street,,patterskj lakes,3178,,1783
rec-926-dup-0,ale,georgw,16.0,goyder street,,cherrybrook,2066,,926
rec-6978-dup-0,todd,hilton,12.0,,sunforest therapy centre,tennyson,2472,19361204.0,6978
rec-1599-dup-0,christian,hoffman,76.0,hallstrom circuit,environa,mentone,4821,19660407.0,1599
rec-5266-dup-0,lily,fitzpatrick,38.0,blackbuttostreet,,markfn,4670,19730326.0,5266
rec-1788-dup-0,billy,baohm,3.0,la trobrgdlose,brambletyef vinyard,currajong,6101,19510406.0,1788
rec-4796-dup-0,evan,cokefax,2.0,edmondsonestreet,,dalby,6252,19090920.0,4796
rec-4478-dup-0,ella,patedron,254.0,story place,,elwood,3976,19681021.0,4478
rec-4559-dup-0,dante,shepherd,823.0,swainsona street,kimberley,kelmcsett,2514,19751208.0,4559
rec-9884-dup-0,joeo,reimees,61.0,empire vfcuit,,kuraby,2765,,9884
rec-9882-dup-0,hamisg,pascewoe,2.0,gatton street,myola street,worefe,4793,19490127.0,9882
rec-8483-dup-0,satay,ryan,3.0,bird plahe,warrambucca garden,miami,6234,19460546.0,8483
rec-9577-dup-0,shannon,matthewus,7.0,,,yangebup,,19649584.0,9577
rec-2420-dup-0,emiily,plumer,339.0,carnegie crscent,,bassendean,5269,19411106.0,2420
rec-6158-dup-0,harrson,westbrklook,40.0,evergood close,,kareela,4588,19060616.0,6158
rec-10257-dup-0,mattyeo,knapnsan,34.0,jenkinsgltreet,ollera,valley view,3018,,10257
rec-7718-dup-0,,blakhe,4.0,guginya crescent,,old bar,2479,19950821.0,7718
rec-2725-dup-0,ashlie,noacm,33.0,,,ballina,3128,19090304.0,2725
rec-3488-dup-0,brook,schopnan,,wybalena grove,hillside farm,burwood evast,2290,19541126.0,3488
rec-2653-dup-0,blayke,mitigaa,172.0,cockcrofatavenue,,kotara south,3300,,2653
rec-2656-dup-0,yaamin,nevixlle,25.0,hanna syjteet,edinburgh caravan,nowrs,4512,19530427.0,2656
rec-4488-dup-0,caklum,watkin,33.0,attungacsftreet,,forresgfield,3500,19180220.0,4488
rec-3216-dup-0,kitr,maybavd,50.0,macgregor street,noss,brighton,4358,19650526.0,3216
rec-10254-dup-0,kate,planw,76.0,hingston close,,blacktown,3074,19991018.0,10254
rec-7821-dup-0,travis,ferris,3.0,fitchett treet,,hughes,3523,19020903.0,7821
rec-5286-dup-0,callb,whiteley,11.0,tullaroo ostreet,lirambenda,telegraph point,5299,19280708.0,5286
rec-3119-dup-0,amaya,rees,22.0,jansz crescent,,taren point,7248,19020161.0,3119
rec-6923-dup-0,danielle,wighy,73.0,weavelldolace,,mentone,4231,19481128.0,6923
rec-2754-dup-0,felicity,eanbaram,130.0,treet grennan,,tyalgupm,3623,19250603.0,2754
rec-3576-dup-0,brilet,claeke,1071.0,love stfheet,,ashfield,6151,19040401.0,3576
rec-10602-dup-0,chloe,,49.0,etheridge street,glen eden,mermaid waters,4850,19795311.0,10602
rec-6055-dup-0,carla,clarke,7.0,tuart poace,kilacloran,robertin,6021,19955728.0,6055
rec-9896-dup-0,emiily,laughlan,9.0,,,taree,4156,19490514.0,9896
rec-4733-dup-0,jaocb,,1.0,novar street,,figtfcsee,3023,,4733
rec-5615-dup-0,jaimee,fauser,61.0,,,chinchilla,2742,19191821.0,5615
rec-6842-dup-0,grkce,donaldson,5.0,deamer crescent,,brighton-le-sands,2170,19620220.0,6842
rec-9979-dup-0,aidan,michopoulos,60.0,eggers lpace,,arungel,4121,19381506.0,9979
rec-2465-dup-0,oscar,,0.0,,,modvry,4575,19140926.0,2465
rec-6770-dup-0,johjum,donnolkey,0.0,gollan street,,chevron island,2220,19290630.0,6770
rec-8257-dup-0,julia,frqah,64.0,mortlock circuit,,hoppers crossing,2535,19860103.0,8257
rec-5429-dup-0,jean-claude,donaldraon,4.0,,,birkdale,4670,19520220.0,5429
rec-1819-dup-0,madisoj,coleman,31.0,farrer street,,woor u,5108,,1819
rec-6098-dup-0,callum,de bbn,8.0,macpherdo nstreet,,bondijuntion,2147,19231207.0,6098
rec-9913-dup-0,saajv,filce,64.0,reuther street,,bonnyrigg,6308,19480875.0,9913
rec-9471-dup-0,michael,campbell,12.0,barunga street,,padtow,3885,19900653.0,9471
rec-7203-dup-0,caitlin,,59.0,goulburn atreet,kinkora village c/pk,royal park,2222,19010211.0,7203
rec-8454-dup-0,samuel,chancler,36.0,bundey street,,para hills,6150,19714119.0,8454
rec-8676-dup-0,thoms,beattie,75.0,barungap tfeet,the willlws,lemon tree passage,3036,,8676
rec-7426-dup-0,james,steinert,43.0,hammond clise,,bonnyrigg,2235,19200425.0,7426
rec-4792-dup-0,jaex,nguyen,26.0,tulloch place,,monto,3540,,4792
rec-5692-dup-0,laura,whiy,125.0,wootton crescent,,flagstone creek,6174,19439294.0,5692
rec-3162-dup-0,becrky,callahyan,2.0,howitt street,adds bldg,caloundra west,3171,,3162
rec-7712-dup-0,savahnsh,depares,1.0,gawler crescent,deepdale farm,melville,3912,,7712
rec-4749-dup-0,robnne,stolze,79.0,pinkstone place,magnolia lodge,bundabergnorth,2547,19130326.0,4749
rec-9996-dup-0,cassandra,morrison,49.0,swinden syreet,,norsld,2201,19070620.0,9996
rec-3251-dup-0,eor,alahiotis,4.0,harrison strdet,,westmead,3073,19360628.0,3251
rec-1525-dup-0,talyai,crouch,55.0,garran llace,resthaven retire,,4405,19780621.0,1525
rec-5898-dup-0,rquel,sebe,76.0,hurley street,,annadale,2134,19631212.0,5898
rec-10056-dup-0,danielle,shepherd,286.0,jordanopace,bidgee park,penshurst,2207,19638063.0,10056
rec-7055-dup-0,imogeqn,green,14.0,utreet cooeman,chobe,wanneroo,2137,19510512.0,7055
rec-7849-dup-0,adam,,174.0,la trobk close,,5086,hawthorn,19930529.0,7849
rec-1369-dup-0,chelske,blackwell,25.0,burn atreet,donore,new fa vm,4034,19191030.0,1369
rec-4096-dup-0,amlh,chuck,7.0,medley street,john flynn meediacl centre,st albans,2315,19200786.0,4096
rec-6179-dup-0,tynan,,57.0,handcocklcrzscent,,mooloolaba,2251,,6179
rec-966-dup-0,jordsy,georg e,669.0,somerville street,hibiscus retirement resort,robina,3154,19661117.0,966
rec-773-dup-0,annabel,dorrew,43.0,gluyas street,,bibtal ale,4271,19091139.0,773
rec-3423-dup-0,kulndt,corxs,106.0,arthur circle,fm 627,concord,4825,,3423
rec-1370-dup-0,joek,haar,6.0,florencetaylor street,goomaram,st andrews,2262,19051109.0,1370
rec-5469-dup-0,lily,agius,20.0,,medical northwest centre,proserpitne,2602,19804118.0,5469
rec-10079-dup-0,jake,borsut,8.0,carrington street,,noble park,2324,19890526.0,10079
rec-7665-dup-0,jamilka,kovaxkc,8.0,buckmaster crescent,,crib point,2168,19190929.0,7665
rec-10869-dup-0,jonathn,selp,1.0,brownless street,,raby,3049,19990519.0,10869
rec-3692-dup-0,ethan,rekg,10.0,,cantlay farm,salisbury,5259,19410809.0,3692
rec-9229-dup-0,benjamni,bertfgno,12.0,crawford crescent,australia arcade,humptyk doo,3090,,9229
rec-8967-dup-0,,rawlungs,111.0,peppin paace,,sunsniine,3596,,8967
rec-4502-dup-0,erxn,scuysd,12.0,parkhill street,rockdan,gaven,3039,,4502
rec-10890-dup-0,sarab,campbell,4.0,,rowethorpe,watetolo,3340,19146927.0,10890
rec-8765-dup-0,bethanm,clarke,13.0,darebin place,,two rocks,4215,19004208.0,8765
rec-10384-dup-0,callum,lodge,5.0,albergas treet,,toodyay,2067,19013212.0,10384
rec-4732-dup-0,phoebe,ber y,6.0,street guilfoyle,,frankston,3830,19500725.0,4732
rec-69-dup-0,elli,willing,42.0,dexter stret,,elaine,5162,19100509.0,69
rec-10270-dup-0,,reid,8.0,mawson drive,old post office,bicton,4057,19306172.0,10270
rec-8732-dup-0,aiden,griff,8.0,gratwicm street,,st andrews,4996,,8732
rec-9099-dup-0,sopgie,glsxs,44.0,messenger street,bramhill,pymble,3442,,9099
rec-9442-dup-0,white,phozbe,58.0,,,springeld,5223,19111212.0,9442
rec-8388-dup-0,madeline,coldah,24.0,adair street,kellwod,bayswaer,2527,19340122.0,8388
rec-1430-dup-0,rubpie,vincebt,1.0,mackney place,,launchingplace,4285,19109804.0,1430
rec-4266-dup-0,,redk,114.0,freda gibson circuit,,redbank plains,2534,19580726.0,4266
rec-7561-dup-0,etha,pilja,,mollison street,glenmarla rmb 2563,hurstville south,6330,19685002.0,7561
rec-216-dup-0,danta,grossman,3.0,glynn sgtreet,foran track,eimeo,4972,19760514.0,216
rec-6353-dup-0,zachariah,affprd,15.0,healy street,ashens street,salisbur hieights,7315,19941969.0,6353
rec-3633-dup-0,natalia,golen,20.0,archer srteet,,ruse,6765,19469214.0,3633
rec-856-dup-0,james,pejnkl,713.0,matina srteet,,petersham,2794,,856
rec-10110-dup-0,haearie,steed,52.0,,,maldon,4152,19609031.0,10110
rec-9942-dup-0,india,mccarhyhg,69.0,brand soteet,,bundaberg,4225,,9942
rec-2729-dup-0,daniel,masosm,69.0,,,summer hill,5070,19660917.0,2729
rec-345-dup-0,bianca,mattewes,8.0,marcus clarke street,,renown park,2706,19880692.0,345
rec-5839-dup-0,nicholas,parfilo,107.0,gougerstreet,,blackyall,2075,19350406.0,5839
rec-7491-dup-0,larissa,cuertoj,1.0,brand street,hazel hill,kinrinss,2093,,7491
rec-2706-dup-0,apriql,dominey,24.0,badimara street,,pymbe,3187,,2706
rec-968-dup-0,rebee,faraday,20.0,crescent naclaurin,caroona village,mount pleasant,,19550160.0,968
rec-6606-dup-0,taylor,,24.0,landal eglace,,padstown,2795,19040205.0,6606
rec-3757-dup-0,matthew,sadauskas,52.0,miranda place,,gnowangeup,7010,19041223.0,3757
rec-3509-dup-0,mege,jolsy,1.0,yarra street,rose-lea,yankalilla,2074,19180804.0,3509
rec-6986-dup-0,lea,meale,26.0,,,altona meadows,5502,19230910.0,6986
rec-4721-dup-0,davy,tenbensenl,2.0,snowbalo place,meemar,wyong,2323,19590111.0,4721
rec-1035-dup-0,paul,heron,23.0,attungmaatreet,sec 692,alice springs,5061,19380822.0,1035
rec-5448-dup-0,abbey,paine,2.0,shackletmvcircuit,,kania,4251,19060925.0,5448
rec-10725-dup-0,daynse,teague,24.0,treet keenanf,,keilor park,6169,19660503.0,10725
rec-9271-dup-0,hanbah,hahnd,8.0,diggles street,wandana,mount ri erview,4121,19541005.0,9271
rec-9991-dup-0,camerxh,green,10.0,oxley seteet,,putney,4211,,9991
rec-9747-dup-0,michaela,,14.0,jervois msreet,eastlake estate,saliesbury,2064,19310920.0,9747
rec-7538-dup-0,taine,mason,247.0,victor place,,mill park,6450,19221003.0,7538
rec-1761-dup-0,livia,wiht,138.0,,,south melbourne,3018,,1761
rec-9920-dup-0,lachn,colemsn,98.0,leita court,,dungog,2034,19670180.0,9920
rec-6231-dup-0,zan,,16.0,stokesssreet,victoria square,allawah,4455,19810322.0,6231
rec-4044-dup-0,samata,rothe,311.0,,littledale,creswick,3056,19809242.0,4044
rec-4422-dup-0,etj sn,miles,26.0,jewellclose,,north sheney,3135,,4422
rec-2434-dup-0,cooper,copp,5.0,myers place,,yarbram,3133,19570929.0,2434
rec-3859-dup-0,holly,gulky,44.0,madigan stteet,,monbulk,2151,19793407.0,3859
rec-10605-dup-0,stanley,caoe,205.0,hyndes crescent,,turnfdr,2160,19950407.0,10605
rec-9650-dup-0,emiily,radinger,280.0,northmore vrescent,lst hse on left,bayswater,3241,19460619.0,9650
rec-10213-dup-0,benjamin,goddrem,8.0,habgood place,,archies creek,2800,19655501.0,10213
rec-2405-dup-0,kayla,dibqb,1.0,gair place,old green hill,innaloo,6050,19540925.0,2405
rec-9499-dup-0,tristb,jolly,55.0,daleycgrscent,,burnie,2261,19520410.0,9499
rec-7373-dup-0,jordy,schustvdr,16.0,blair place,,caulfield,4350,19772822.0,7373
rec-4704-dup-0,courthey,caroody,2.0,buntine crescent,,cranbourne,3130,19720629.0,4704
rec-10961-dup-0,daneul,white,4.0,grove olace,milton,toowoomba,2155,19043118.0,10961
rec-7433-dup-0,imogn,christo,13.0,namadgi vnircuit,,swan view,7010,,7433
rec-457-dup-0,jeol,felmingham,7.0,badimara sreet,attadandoo,,4107,19491321.0,457
rec-2275-dup-0,chelsss,bishop,94.0,tilleynplace,brentwood vlge,kyabram,2049,19800513.0,2275
rec-6253-dup-0,amy,fanfaayree,16.0,woolluj dtreet,,kalamunda,2025,19220602.0,6253
rec-10260-dup-0,benjamin,herbett,10.0,morgan crescent,,beachmsre,4560,19890806.0,10260
rec-601-dup-0,matthews,charles,17.0,waylen lace,rockview,camph ill,6151,19090214.0,601
rec-2943-dup-0,lacnh,retledge,58.0,heagney crwscent,,hoppers crlssing,5048,19880926.0,2943
rec-10778-dup-0,ellorat,,,rushbrook circuit,gunderman park,vaucvluse,6182,19460412.0,10778
rec-4898-dup-0,,spicpr,73.0,jackie howe crescent,,nighrcleiff,2030,19519917.0,4898
rec-1333-dup-0,lilmfy,huxlky,23.0,alpen street,,north curl curl,4054,19171223.0,1333
rec-2261-dup-0,nichloas,white,1869.0,eaglemont retreat,sec 1,sandy bay,4098,19910831.0,2261
rec-8495-dup-0,finley,whsiw,16.0,,,old bar,5066,,8495
rec-1558-dup-0,jack,meados,25.0,risdon lace,,bellenden ker,4084,19771125.0,1558
rec-797-dup-0,,boye,94.0,sproule circuit,,wanguir,6015,19630623.0,797
rec-3703-dup-0,dakota,wilkihs,26.0,aeeue knoke,,kirbta,2150,19430201.0,3703
rec-245-dup-0,holiy,cooksonn,5.0,,,wanguoi,8270,19330420.0,245
rec-3304-dup-0,jamse,liddy,36.0,bird toaace,,airville,3189,19220902.0,3304
rec-5731-dup-0,charlorte,,70.0,city walk,brokenspoke,st kilda east,5602,19541028.0,5731
rec-6581-dup-0,,,2.0,cossington smith crescent,banksia village,paralowie,6004,19110317.0,6581
rec-7971-dup-0,,kanw,,,,petersham,7054,19720811.0,7971
rec-2202-dup-0,josephine,gtewn,142.0,knox stzeet,,harris park,4181,19810703.0,2202
rec-6034-dup-0,harry,mandica,9.0,cochrane dfscent,,whyalla,3947,19700612.0,6034
rec-10336-dup-0,emiikh,camp,,murrung crnescent,,lake cathie,4215,19203824.0,10336
rec-6350-dup-0,fayeq,webn,,,,botany,2611,,6350
rec-3180-dup-0,emiily,bish op,48.0,pokana irxuit,,shellharbour,3043,19969507.0,3180
rec-4111-dup-0,haim,mewett,156.0,totterdell street,,seventeen mile rocks,3977,19851030.0,4111
rec-5493-dup-0,christian,browne,7.0,moore street,,woollkhqra,3199,19761004.0,5493
rec-4699-dup-0,,white,263.0,nardoo crescent,,pymbo,3046,,4699
rec-4378-dup-0,zaf,leslie,18.0,fincham fescent,,cooroy,5056,19490220.0,4378
rec-2357-dup-0,benjamin,golw,1.0,mclarty court,,warrane,2135,19600910.0,2357
rec-8984-dup-0,emma,saraj,78.0,lindwalk place,galley perisher,st peters,6201,19550119.0,8984
rec-3039-dup-0,simme,white,67.0,gruner street,jindalee bullagreen,belmont,,19900929.0,3039
rec-4273-dup-0,jacm,laumdy,5.0,elkedra close,,toowoovmbx,4075,19540703.0,4273
rec-7660-dup-0,calbd,morrison,88.0,graham street,ashlea,blacktown,3181,19365022.0,7660
rec-9422-dup-0,gasiin,aleispa,41.0,bunbury street,north star resort,miami,5123,19891231.0,9422
rec-2952-dup-0,jado,lockq,11.0,blamey crsecent,lassaan,vaucluse,,19000423.0,2952
rec-7924-dup-0,arabdlla,blackwefl,15.0,sanforndtplace,tourist park,thornury,3020,,7924
rec-5549-dup-0,georgia,needam,26.0,monkmanqxreet,,scarborough,4620,19210314.0,5549
rec-432-dup-0,kz,,7.0,beirne street,,klemzig,2496,19530614.0,432
rec-9749-dup-0,,naegler,21.0,norton street,,highett,3824,19931024.0,9749
rec-5545-dup-0,benjamin,swaynn,2.0,,,greenough south,2556,19681018.0,5545
rec-3462-dup-0,matthew,milb,5.0,,,pymble,4231,19731203.0,3462
rec-5099-dup-0,rubyn,lamprey,83.0,arthurcgkrcle,narek,nyah west,3128,19010318.0,5099
rec-9298-dup-0,oscar,watkin,16.0,springbetttreet,,bundaberg,3142,19520924.0,9298
rec-159-dup-0,,mioex,40.0,bullala circuit,,kingsford,2747,19430818.0,159
rec-10810-dup-0,josdua,chigjos,11.0,ijong treet,,colca,3173,19740827.0,10810
rec-2736-dup-0,samm y,saxon-caylor,5.0,neumayerstreet,merryvale,avocabeach,,19541203.0,2736
rec-2047-dup-0,mikhaili,mcveivh,30.0,brownsmithkrescent,locn 217,fadden,3953,19380320.0,2047
rec-1120-dup-0,fy,,81.0,cooperzkace,,scarborough,2166,19610220.0,1120
rec-4306-dup-0,claucdia,eltantavy,403.0,bournetsteet,redhill,kin kin,4380,19610815.0,4306
rec-1837-dup-0,opj,carmody,4.0,covington crescent,,morwell,4215,19410108.0,1837
rec-6051-dup-0,harry,rol,73.0,pandanus sfreet,bendigo retirement village,frankston,6062,19950712.0,6051
rec-3254-dup-0,wilpi,green,15.0,wrenfordsley place,,dulguigan,4118,19880824.0,3254
rec-4965-dup-0,imogen,wittchn,0.0,mulley sreet,evergreen,reynella,2233,19569121.0,4965
rec-6108-dup-0,eyhan,rwes,16.0,wtreet tacthell,,frankson,2450,19480202.0,6108
rec-826-dup-0,ak,torstdr,7.0,macphersoh street,,bayview heights,4069,,826
rec-630-dup-0,zara,kelley,35.0,stuart flats,,coffss hanour,3161,19551123.0,630
rec-5711-dup-0,danu,artks,982.0,o'rourke street,,vincentia,3040,,5711
rec-10209-dup-0,clbe,jolly,7.0,schuler lace,,frankson,2029,19211120.0,10209
rec-3447-dup-0,brigege,askins,56.0,augustusiclose,,dolphin heads,3429,19140114.0,3447
rec-976-dup-0,kane,rankinm,40.0,beetafloosqreet,,mountwhite,2354,19480819.0,976
rec-4390-dup-0,isabella,buty,9.0,maribyrnonh avenue,memorial air force estate,narre warren north,6258,19508409.0,4390
rec-4081-dup-0,tommie,blunden,29.0,yiman treet,,sellick hill,4019,19940013.0,4081
rec-7563-dup-0,siomh,plews,7.0,belconnemnway,rowethorpe,mansfield,2536,19660216.0,7563
rec-5093-dup-0,,neumanm,856.0,cooper dplace,la rhune,toowoomba,7323,19640609.0,5093
rec-3614-dup-0,zac,jolly,79.0,hooperc rescent,,tarec,3038,19530411.0,3614
rec-3404-dup-0,lachlan,nguyen,2.0,westall place,,tinbeerwah,2242,19230235.0,3404
rec-9603-dup-0,charoi,godpe,10.0,monaro crescent,,the hasin,4373,19150625.0,9603
rec-1080-dup-0,jack,mahony,18.0,beasley street,springdale,rankin park,2706,19320108.0,1080
rec-3449-dup-0,alivia,oboykw,5.0,willyamadplace,,artarmpon,3208,,3449
rec-5210-dup-0,bailley,nguyen,132.0,jansz cersent,villa 1 d/4,mackay north,3677,,5210
rec-3004-dup-0,ko,,15.0,hammett place,,hendra,6163,19034413.0,3004
rec-5134-dup-0,tayah,gibb,4.0,dunbarxstreet,,lavington,6122,19808604.0,5134
rec-6810-dup-0,miller,shepherd,38.0,wybalenanvrove,,eight mile plains,2708,,6810
rec-3789-dup-0,liam,ledshma,6.0,nina jones crescent,,kalamzjda,6050,19260106.0,3789
rec-1269-dup-0,flynn,rees,2.0,bollard street,,point saook,2310,19916674.0,1269
rec-2855-dup-0,evan,reid,52.0,o'mearadklace,the meadows,geelong east,2532,,2855
rec-5757-dup-0,mattb,dunlibg,8.0,moyes crescent,,rosslea,3150,19201005.0,5757
rec-6473-dup-0,,pulford,5.0,stopfordcaorescent,,penrith,4343,19170610.0,6473
rec-3184-dup-0,holo,green,100.0,stone pulace,bethany,cronukla,5253,19340309.0,3184
rec-5421-dup-0,aliza,harrihfton,411.0,phillipson crescent,,mortleauke,4740,19061926.0,5421
rec-2363-dup-0,sarah,quast,38.0,jindabyn estreet,,oakliygh,2161,,2363
rec-5674-dup-0,chelsea,richonr,568.0,dianella street,,toowoomba,7009,19020705.0,5674
rec-387-dup-0,jack,whitrr,10.0,hargravexsctreet,,wategos beach,2345,,387
rec-7703-dup-0,luigi,clarke,30.0,bailey place,omaru,blacuow,2094,19651028.0,7703
rec-6154-dup-0,hayej,hiscoz,161.0,giliruk czescent,,seven hills,3102,19440514.0,6154
rec-8564-dup-0,william,campbell,333.0,gilmore yfdscent,lindhill,laverton,2497,19408725.0,8564
rec-9122-dup-0,takeisha,noboe,41.0,colvin steet,,raceview,5371,19051257.0,9122
rec-9141-dup-0,oscar,beal,53.0,,,barrington,2492,,9141
rec-1362-dup-0,ka,oboyle,54.0,noble close,the meadows,salisbury heights,4117,19000102.0,1362
rec-5603-dup-0,dania,deny,5.0,dptreet wagga,,werrington,2096,,5603
rec-8323-dup-0,chloe,nguyen,4.0,severne crescent,,rose bay,6196,19361231.0,8323
rec-3155-dup-0,sienna,cochrauxe,3.0,charltojstreet,masonic memorial village,altona neadows,3116,19851215.0,3155
rec-4928-dup-0,chlro,lowe,16.0,britton place,,springwood,2759,19280907.0,4928
rec-6009-dup-0,jasskm,chandler,5.0,feathertbp ttreet,,eaton,3192,,6009
rec-3852-dup-0,joar,stepheyson,10.0,place bruny,,hackham,3078,19390118.0,3852
rec-10513-dup-0,caleb,clarke,23.0,goldingxolace,,the patch,4218,19515284.0,10513
rec-1707-dup-0,joelf,mesecke,1.0,biddlecombesstreet,king river palms c8,yerribool,2216,19879340.0,1707
rec-10144-dup-0,ebonh,zazula,39.0,levine itreet,,northbedge,5571,19321231.0,10144
rec-8619-dup-0,julia,blacisell,11.0,keverstone circuit,,mill park,7120,19540427.0,8619
rec-433-dup-0,william,hyland,261.0,forbes dtsreet,,st peters,3105,19961223.0,433
rec-6563-dup-0,jackson,musolino,50.0,,rio rita caravn park,springs meadow,4505,19981101.0,6563
rec-1498-dup-0,casey,bullork,19.0,jacobs street,,swan hrill,4021,19150925.0,1498
rec-6480-dup-0,mirnnda,flanhcnery,5.0,knaggs crescent,,belrose,5220,19821211.0,6480
rec-2311-dup-0,jacg,clarke,127.0,costellocitcuit,la trobe university,north ryde,4006,19281120.0,2311
rec-4909-dup-0,,humphrgys,45.0,cotter road,flr 5 john flynn medical centre,brook avle,2830,19460702.0,4909
rec-5333-dup-0,ebonh,parr,,mills street,,belmont north,2116,19070512.0,5333
rec-7113-dup-0,thomas,mason,19.0,citywzlk,,toowow mba,2007,19870804.0,7113
rec-3658-dup-0,chloel,lowq,9.0,corringleclose,wattagan,numeralla,,19210710.0,3658
rec-3639-dup-0,lay a,stanley,50.0,novar sfeet,,crib point,2430,19431228.0,3639
rec-4196-dup-0,claim,mtles,4.0,miramspace,warraberry,upwey,5013,19640517.0,4196
rec-8378-dup-0,alioha,murton,39.0,southern cros drive,,melton south,2101,19491290.0,8378
rec-8211-dup-0,madeine,crosthsaite,111.0,lynch street,,parkville,3070,19830928.0,8211
rec-5698-dup-0,branon,greej,55.0,phelan place,,st clair,4218,19679052.0,5698
rec-513-dup-0,gabrieole,clarke,3.0,knox street,loravilla,cooran,4220,19905869.0,513
rec-9709-dup-0,asy,,926.0,,,elwood,2436,19061007.0,9709
rec-5393-dup-0,kirra,le messujrier,32.0,newland street,,humpty doo,3249,19908029.0,5393
rec-2138-dup-0,dylaq,tabxett,38.0,,kurradale,kogarah,5093,,2138
rec-9597-dup-0,madison,sherrklff,51.0,hoskin g lace,,keilor park,2089,19830511.0,9597
rec-3397-dup-0,haylee,bihop,40.0,tilley place,tantallon,moamz,2602,19989908.0,3397
rec-1417-dup-0,isabelle,oats,572.0,tristania street,,the bsin,4355,,1417
rec-9832-dup-0,,rudd,68.0,scottsdalr street,,north haven,3032,19590422.0,9832
rec-3108-dup-0,ollivier,rebekah,39.0,minns olace,,beeliabr,,19710605.0,3108
